LocationType,Location,TimeFrame,DataFormat,Data
County,Hardin,2009,Number,35
County,Hardin,2010,Number,19
County,Hardin,2011,Number,22
County,Hardin,2012,Number,33
County,Hardin,2012,Rate,4.5
County,Hardin,2013,Number,33
County,Hardin,2013,Rate,4.5
County,Hardin,2014,Number,30
County,Hardin,2014,Rate,4
County,Hardin,2016,Number,42
County,Hardin,2016,Rate,5.74555
County,Hardin,2015,Number,39
County,Hardin,2015,Rate,5.3
County,Hardin,2017,Number,51
County,Hardin,2017,Rate,7.03448
County,Harrison,2001,Number,18
County,Harrison,2002,Number,10
County,Harrison,2003,Number,9
County,Harrison,2004,Number,11
County,Harrison,2005,Number,20
County,Harrison,2006,Number,27
County,Harrison,2008,Number,33
County,Harrison,2007,Number,37
County,Harrison,2009,Number,25
County,Harrison,2010,Number,14
County,Harrison,2011,Number,42
County,Harrison,2012,Number,61
County,Harrison,2012,Rate,18.1
County,Harrison,2013,Number,42
County,Harrison,2013,Rate,12.9
County,Harrison,2014,Number,34
County,Harrison,2014,Rate,10.4
County,Harrison,2016,Number,61
County,Harrison,2016,Rate,18.8913
County,Harrison,2015,Number,53
County,Harrison,2015,Rate,16.3
County,Harrison,2017,Number,70
County,Harrison,2017,Rate,21.86134
County,Henry,2001,Number,47
County,Henry,2002,Number,37
County,Henry,2003,Number,40
County,Henry,2004,Number,37
County,Henry,2005,Number,46
County,Henry,2006,Number,41
County,Henry,2008,Number,42
County,Henry,2007,Number,39
County,Henry,2009,Number,38
County,Henry,2010,Number,30
County,Henry,2011,Number,37
County,Henry,2012,Number,48
County,Henry,2012,Rate,7.1
County,Henry,2013,Number,41
County,Henry,2013,Rate,6.1
County,Henry,2014,Number,47
County,Henry,2014,Rate,7
County,Henry,2016,Number,42
County,Henry,2016,Rate,6.55328
County,Henry,2015,Number,48
County,Henry,2015,Rate,7.3
County,Henry,2017,Number,36
County,Henry,2017,Rate,5.69801
County,Highland,2001,Number,91
County,Highland,2002,Number,90
County,Highland,2003,Number,102
County,Highland,2004,Number,129
County,Highland,2005,Number,127
County,Highland,2006,Number,112
County,Highland,2008,Number,120
County,Highland,2007,Number,126
County,Highland,2009,Number,101
County,Highland,2010,Number,84
County,Highland,2011,Number,81
County,Highland,2012,Number,114
County,Highland,2012,Rate,10.8
County,Highland,2013,Number,157
County,Highland,2013,Rate,14.7
County,Highland,2014,Number,214
County,Highland,2014,Rate,20.6
County,Highland,2016,Number,205
County,Highland,2016,Rate,19.83167
County,Highland,2015,Number,231
County,Highland,2015,Rate,22.1
County,Highland,2017,Number,181
County,Highland,2017,Rate,17.52687
County,Hocking,2001,Number,89
County,Hocking,2002,Number,85
County,Hocking,2003,Number,72
County,Hocking,2004,Number,92
County,Hocking,2005,Number,84
County,Hocking,2006,Number,72
County,Hocking,2008,Number,66
County,Hocking,2007,Number,73
County,Hocking,2009,Number,58
County,Hocking,2010,Number,48
County,Hocking,2011,Number,49
County,Hocking,2012,Number,64
County,Hocking,2012,Rate,9.4
County,Hocking,2013,Number,69
County,Hocking,2013,Rate,10.3
County,Hocking,2014,Number,60
County,Hocking,2014,Rate,9
County,Hocking,2016,Number,56
County,Hocking,2016,Rate,8.86076
County,Hocking,2015,Number,62
County,Hocking,2015,Rate,9.5
County,Hocking,2017,Number,47
