,LocationType,Location,TimeFrame,DataFormat,Data
1483,County,Perry,2012,Number,120.0
1485,County,Perry,2013,Number,167.0
1487,County,Perry,2014,Number,177.0
1489,County,Perry,2016,Number,113.0
1491,County,Perry,2015,Number,131.0
1493,County,Perry,2017,Number,108.0
1501,County,Pickaway,2008,Number,40.0
1503,County,Pickaway,2009,Number,41.0
1504,County,Pickaway,2010,Number,37.0
1505,County,Pickaway,2011,Number,27.0
1506,County,Pickaway,2012,Number,26.0
1508,County,Pickaway,2013,Number,37.0
1510,County,Pickaway,2014,Number,48.0
1512,County,Pickaway,2016,Number,68.0
1514,County,Pickaway,2015,Number,64.0
1516,County,Pickaway,2017,Number,68.0
1524,County,Pike,2008,Number,61.0
1526,County,Pike,2009,Number,60.0
1527,County,Pike,2010,Number,44.0
1528,County,Pike,2011,Number,42.0
1529,County,Pike,2012,Number,59.0
1531,County,Pike,2013,Number,59.0
1533,County,Pike,2014,Number,63.0
1535,County,Pike,2016,Number,81.0
1537,County,Pike,2015,Number,84.0
1539,County,Pike,2017,Number,88.0
1547,County,Portage,2008,Number,230.0
1549,County,Portage,2009,Number,225.0
1550,County,Portage,2010,Number,196.0
1551,County,Portage,2011,Number,218.0
1552,County,Portage,2012,Number,220.0
1554,County,Portage,2013,Number,249.0
1556,County,Portage,2014,Number,294.0
1558,County,Portage,2016,Number,313.0
1560,County,Portage,2015,Number,328.0
1562,County,Portage,2017,Number,400.0
1570,County,Preble,2008,Number,138.0
1572,County,Preble,2009,Number,130.0
1573,County,Preble,2010,Number,120.0
1574,County,Preble,2011,Number,155.0
1575,County,Preble,2012,Number,148.0
1577,County,Preble,2013,Number,158.0
1579,County,Preble,2014,Number,152.0
1581,County,Preble,2016,Number,155.0
1583,County,Preble,2015,Number,166.0
1585,County,Preble,2017,Number,149.0
1593,County,Putnam,2008,Number,12.0
1595,County,Putnam,2009,Number,7.0
1596,County,Putnam,2010,Number,7.0
1597,County,Putnam,2011,Number,5.0
1598,County,Putnam,2012,Number,13.0
1600,County,Putnam,2013,Number,11.0
1602,County,Putnam,2014,Number,8.0
1604,County,Putnam,2016,Number,11.0
1606,County,Putnam,2015,Number,13.0
1608,County,Putnam,2017,Number,19.0
1616,County,Richland,2008,Number,126.0
1618,County,Richland,2009,Number,102.0
1619,County,Richland,2010,Number,94.0
1620,County,Richland,2011,Number,96.0
1621,County,Richland,2012,Number,106.0
1623,County,Richland,2013,Number,100.0
1625,County,Richland,2014,Number,97.0
1627,County,Richland,2016,Number,130.0
1629,County,Richland,2015,Number,135.0
1631,County,Richland,2017,Number,153.0
1639,County,Ross,2008,Number,178.0
1641,County,Ross,2009,Number,224.0
1642,County,Ross,2010,Number,154.0
1643,County,Ross,2011,Number,205.0
1644,County,Ross,2012,Number,161.0
1646,County,Ross,2013,Number,199.0
1648,County,Ross,2014,Number,212.0
1650,County,Ross,2016,Number,200.0
1652,County,Ross,2015,Number,229.0
1654,County,Ross,2017,Number,241.0
1662,County,Sandusky,2008,Number,46.0
1664,County,Sandusky,2009,Number,39.0
1665,County,Sandusky,2010,Number,33.0
1666,County,Sandusky,2011,Number,38.0
1667,County,Sandusky,2012,Number,35.0
1669,County,Sandusky,2013,Number,47.0
1671,County,Sandusky,2014,Number,62.0
