,County,Total Deaths in 2008,Population in 2008,Total Deaths in 2009,Population in 2009,Total Deaths in 2010,Population in 2010,Total Deaths in 2011,Population in 2011,Total Deaths in 2012,Population in 2012,Total Deaths in 2013,Population in 2013,Total Deaths in 2014,Population in 2014,Total Deaths in 2015,Population in 2015,Total Deaths in 2016,Population in 2016,Total Deaths in 2017,Population in 2017,2008 Death Rate,2009 Death Rate,2010 Death Rate,2011 Death Rate,2012 Death Rate,2013 Death Rate,2014 Death Rate,2015 Death Rate,2016 Death Rate,2017 Death Rate
46,Lorain,25,299814,24,300893,27,301461,28,301816,99,301637,136,302908,144,304313,154,305291,385,306590,370,307924,8.338503205320633,7.976257340649333,8.95638241762616,9.2771754976542,32.820907249442214,44.89812088158781,47.319700440007495,50.4436750510169,125.57487197886428,120.1595198815292
47,Lucas,85,443909,87,442603,103,441430,75,439282,172,436673,155,435886,311,434372,306,433315,394,432562,393,430887,19.148068635688844,19.65644155145808,23.3332578211721,17.073315091444673,39.38874169000602,35.55975645008098,71.59761678929581,70.61837231575183,91.0852085943749,91.20720745810387
48,Madison,9,43163,6,43353,25,43434,2,43112,17,42982,19,43224,16,43953,17,44095,36,43354,45,44036,20.851191993142272,13.839872673171406,57.55859464935305,4.63907960660605,39.55144013773207,43.95706089209698,36.40252087457056,38.5531239369543,83.0373206624533,102.18911799436823
49,Mahoning,72,241572,55,240050,96,238391,120,237328,109,235657,103,234276,118,233278,153,231764,229,230169,316,229796,29.804778699518156,22.911893355550927,40.26997663502397,50.562933998516826,46.25366528471465,43.96523758302173,50.58342406913639,66.01542948861774,99.49211231747108,137.51327264182146
50,Marion,9,66840,15,66497,27,66455,26,66584,44,66267,46,65952,58,65784,56,65379,61,65334,90,64967,13.464991023339318,22.55740860489947,40.62899706568354,39.04842004085066,66.3980563478051,69.74769529354683,88.16733552231545,85.65441502623167,93.36639422046714,138.53187002632106
51,Medina,21,170330,18,171688,15,172509,32,173488,34,173603,29,174589,41,175817,71,176128,125,176903,97,178371,12.329008395467621,10.484134010530731,8.695198511382015,18.445079774970026,19.58491500722914,16.61043937476015,23.319701735327072,40.311591569767444,70.66019230877939,54.38103727623885
52,Meigs,0,23534,0,23770,3,23732,11,23646,0,23571,10,23442,11,23282,6,23187,23,23177,11,23080,0.0,0.0,12.641159615708748,46.519495897826275,0.0,42.65847623922873,47.24680010308393,25.876568766981496,99.23631186089658,47.66031195840555
53,Mercer,0,41022,4,40855,3,40786,7,40706,0,40700,5,40607,11,40721,7,40706,5,40710,12,40873,0.0,9.790723289683024,7.355465110577159,17.19648209109222,0.0,12.313147979412417,27.013089069521868,17.19648209109222,12.281994595922377,29.35923470261542
54,Miami,39,102430,21,102526,21,102483,4,102714,14,102908,18,103174,47,103776,23,103953,82,104382,117,105122,38.07478277848286,20.482609289350993,20.491203419103655,3.894308468173764,13.604384498775605,17.446255839649524,45.289855072463766,22.12538358681327,78.55760571746086,111.29925229733071
55,Monroe,0,14833,0,14742,0,14619,0,14623,2,14513,0,14516,4,14368,0,14266,0,14097,0,13946,0.0,0.0,0.0,0.0,13.780748294632398,0.0,27.839643652561247,0.0,0.0,0.0
56,Montgomery,181,537664,140,535294,109,535564,142,534415,153,534168,212,533713,421,531992,578,531293,895,531395,1500,531542,33.664147125342225,26.153851901945472,20.352376186599546,26.57111046658496,28.642674214853756,39.72172309836935,79.13652836884765,108.79119431274269,168.42461822185004,282.1978319681229
